Date,Methods,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary)
18/8/2020,0,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
19/8/2020,0,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
28/8/2020,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
5/9/2020,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
24/9/2020,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
25/9/2020,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
26/9/2020,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
27/9/2020,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
28/9/2020,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
6/10/2020,0,U,U,S,S,U,S,S,S,S,S,S,L,S,S,L,S,S,S,S,S,S,S,S
7/10/2020,0,U,U,S,S,U,S,S,S,S,S,S,L,S,S,L,S,S,S,S,S,S,S,S
8/10/2020,0,U,U,S,S,U,S,S,S,S,S,S,L,S,S,L,S,S,S,S,S,S,S,S
9/10/2020,0,U,U,S,S,U,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S
10/10/2020,0,U,U,S,S,U,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S
11/10/2020,0,U,U,S,S,U,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S
17/10/2020,0,U,U,S,U,U,S,S,S,S,S,S,U,S,S,L,S,S,S,S,S,S,S,S
20/10/2020,0,U,U,S,U,U,S,S,S,S,S,S,U,S,S,L,S,S,S,S,S,S,S,S
21/10/2020,0,U,S,S,U,S,S,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S
24/10/2020,0,U,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
26/10/2020,0,U,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
27/10/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
28/10/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
29/10/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
30/10/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
31/10/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1/11/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2/11/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
3/11/2020,0,U,S,S,U,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
16/11/2020,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S
17/11/2020,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S
18/11/2020,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S
19/11/2020,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S
20/11/2020,0,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S
21/11/2020,0,L,S,U,L,S,S,U,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S
2/12/2020,0,L,S,U,L,S,S,U,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
3/12/2020,0,L,S,U,L,S,S,U,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
4/12/2020,0,L,S,U,L,S,S,U,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
5/12/2020,0,L,S,U,L,S,S,U,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
6/12/2020,0,L,S,U,L,S,S,U,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
7/12/2020,0,L,S,U,L,S,S,U,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
13/12/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
16/12/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
17/12/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
18/12/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
19/12/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
20/12/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
21/12/2020,0,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,U,S,S,S,S,S,S
22/12/2020,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
29/12/2020,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
30/12/2020,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
3/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
5/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
7/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
8/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
11/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
13/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
16/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,L,L
17/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,L,L
19/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,L,L
20/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,L,L
21/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,L,L
22/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,L,L
23/1/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,L,L
26/1/2021,0,S,S,S,S,U,L,S,S,S,S,S,S,S,L,S,S,S,L,L,L,L,L,L
30/1/2021,0,S,S,S,S,U,L,U,S,S,S,S,S,S,L,S,S,S,L,L,L,L,L,L
1/2/2021,0,S,S,S,S,U,L,U,S,S,S,S,S,S,L,S,S,S,L,L,L,L,L,L
3/2/2021,0,S,S,S,S,U,L,U,S,S,S,S,S,S,L,S,S,S,L,L,L,L,L,L
5/2/2021,0,S,S,S,S,U,L,U,S,S,S,S,S,S,L,S,S,S,L,S,L,S,S,S
7/2/2021,0,S,S,S,S,U,L,U,S,S,S,S,S,S,L,S,S,S,L,S,L,S,S,S
8/2/2021,0,S,S,S,S,U,L,U,S,S,S,S,S,S,L,S,S,S,L,S,L,S,S,S
14/2/2021,0,S,S,S,S,U,L,U,S,S,S,S,S,S,L,S,S,S,L,S,L,S,S,S
17/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
20/2/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
18/5/2021,0,S,S,S,S,L,S,S,S,S,L,S,S,S,U,U,S,S,S,S,S,L,L,S
19/5/2021,0,S,S,S,S,L,S,S,S,S,L,S,S,S,U,U,S,S,S,S,S,L,L,S
21/5/2021,0,S,S,S,S,L,S,S,S,S,L,S,S,S,U,U,S,S,S,S,S,S,S,S
22/5/2021,0,S,S,S,S,L,S,S,S,S,L,S,S,S,U,U,S,S,S,S,S,S,S,S
23/5/2021,0,S,S,S,S,L,S,S,S,S,L,S,S,S,U,U,S,S,S,S,S,S,S,S
24/5/2021,0,S,S,S,S,L,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S
31/5/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
3/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
4/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
5/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
6/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
7/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
8/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
9/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
10/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
11/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
12/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
13/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
14/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
15/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
16/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
17/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
18/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
19/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
20/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
21/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
22/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
23/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
24/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
25/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
26/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
27/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
28/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
29/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
30/6/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
3/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
4/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
5/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
6/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
7/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
8/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
10/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
15/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
16/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
17/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
18/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
19/7/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
22/7/2021,0,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
25/7/2021,0,S,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
26/7/2021,0,U,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
3/8/2021,0,U,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,U,U,U
9/8/2021,0,U,S,S,S,S,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,U,U,U
11/8/2021,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,U,U,U
13/8/2021,0,U,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,U,U,U
15/8/2021,0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,U,U,U
